car_year,car_brand,car_model,mileage,has_original_invoice,state_of_origin,simulated_loan_amount
2015,Ford,Fusion,59000.0,Si,Querétaro,108800.0
2018,Renault,Captur,58000.0,Si,Ciudad de México,137360.0
2017,Ford,Explorer,78000.0,Si,Ciudad de México,240000.0
2017,Nissan,March,155000.0,Si,Estado de México,83260.0
2018,BMW,Serie 3,56000.0,Si,Morelos,194400.0
2014,Ford,Explorer,110000.0,Si,Ciudad de México,172800.0
2014,General Motors,Spark,141000.0,Si,Estado de México,51040.0
2024,Chrysler,Grand Cherokee,5000.0,Si,Ciudad de México,916000.0
2015,Buick,Encore,117000.0,Si,Ciudad de México,120800.0
2014,Volkswagen,Gol,144000.0,Si,Querétaro,64000.0
2022,Volkswagen,Jetta Nuevo,79000.0,Si,Ciudad de México,168657.0
2017,Baic,X25,123000.0,Si,Estado de México,95200.0
2019,Hyundai,TUCSON,72000.0,Si,Ciudad de México,182400.0
2023,Seat,Formentor,15000.0,Si,Ciudad de México,343200.0
2020,Hyundai,CRETA,101000.0,Si,Ciudad de México,159084.0
2015,Volkswagen,Jetta Clasico,133000.0,Si,Puebla,88000.0
2018,Mazda,Mazda 3,104000.0,Si,Querétaro,140800.0
2020,Honda,CR-V,60000.0,Si,Ciudad de México,275200.0
2023,Mazda,CX9,127000.0,Si,Hidalgo,280560.0
2015,Volkswagen,Beetle,111000.0,Si,Ciudad de México,127200.0
2020,Volkswagen,Virtus,62000.0,Si,Estado de México,145600.0
2018,Nissan,Estacas,155000.0,Si,Puebla,136320.0
2017,Mercedes Benz,Clase B,63000.0,Si,Ciudad de México,160240.0
2020,Ford,Escape,68000.0,Si,Ciudad de México,264000.0
2017,General Motors,Sonic,106000.0,Si,Estado de México,96000.0
2018,Mercedes Benz,Clase GLC,68000.0,Si,Ciudad de México,314400.0
2025,Tesla,MODELO 3,10000.0,Si,Querétaro,418400.0
2018,Nissan,KICKS,165000.0,Si,Puebla,113795.0
2018,Nissan,KICKS,35000.0,Si,Ciudad de México,158400.0
2023,General Motors,Onix,42000.0,Si,Ciudad de México,162163.0
2016,General Motors,Camaro,55000.0,Si,Hidalgo,300000.0
2018,Chrysler,Grand Cherokee,78000.0,Si,Ciudad de México,312800.0
2017,Chrysler,Pacifica,126000.0,Si,Querétaro,249520.0
2018,Audi,Q5,90000.0,Si,Querétaro,264800.0
2019,Nissan,Altima,69000.0,Si,Ciudad de México,213600.0
2014,Volkswagen,Jetta Nuevo,78000.0,Si,Ciudad de México,86400.0
2018,Nissan,X Trail,201000.0,Si,Estado de México,116480.0
2018,Kia,RIO,73000.0,Si,Ciudad de México,120800.0
2020,Mazda,CX30,74000.0,Si,Ciudad de México,200000.0
2022,Kia,FORTE,71000.0,Si,Ciudad de México,154844.0
2020,Toyota,Yaris,105000.0,Si,Morelos,115438.0
2022,Volkswagen,Tiguan,83000.0,Si,Querétaro,238345.0
2014,Nissan,March,60000.0,Si,Querétaro,75200.0
2021,General Motors,Onix,89000.0,Si,Morelos,118816.0
2024,Jac,Frison,4000.0,Si,Ciudad de México,235200.0
2015,General Motors,Malibu,151000.0,Si,Estado de México,106400.0
2018,Hyundai,ELANTRA,141000.0,Si,Estado de México,133479.0
2025,Volkswagen,Jetta Nuevo,12000.0,Si,Puebla,273600.0
2014,Fiat,500,102000.0,Si,Ciudad de México,88800.0
2019,Mazda,Mazda 3,86000.0,Si,Puebla,172800.0
2017,Audi,Q5,129000.0,Si,Ciudad de México,196000.0
2018,Kia,OPTIMA,58000.0,Si,Ciudad de México,174400.0
2021,Kia,SELTOS,108000.0,Si,Ciudad de México,181656.0
2022,Audi,A1,33000.0,Si,Ciudad de México,285600.0
2018,General Motors,Beat,180000.0,Si,Ciudad de México,64464.0
2014,Mitsubishi,Lancer,154000.0,Si,Ciudad de México,77600.0
2022,Tesla,MODELO 3,87000.0,Si,Ciudad de México,348445.0
2015,General Motors,Trax,118000.0,Si,Estado de México,110400.0
2015,Nissan,March,150000.0,Si,Ciudad de México,68000.0
2014,Nissan,Versa,168000.0,Si,Ciudad de México,80800.0
2018,Hyundai,ELANTRA,75000.0,Si,Estado de México,126160.0
2014,General Motors,Sonic,120000.0,Si,Estado de México,71680.0
2019,Chrysler,Attitude,95000.0,Si,Estado de México,96800.0
2016,Seat,Leon,81000.0,Si,Ciudad de México,147200.0
2023,Volkswagen,Tiguan,33000.0,Si,Puebla,308000.0
2018,Chrysler,Wrangler,113000.0,Si,Ciudad de México,381600.0
2019,Renault,Kwid,180000.0,Si,Puebla,66640.0
2020,Seat,ATECA,39000.0,Si,Ciudad de México,231200.0
2016,Chrysler,Vision,122000.0,Si,Ciudad de México,75200.0
2016,GMC,Terrain,166000.0,Si,Querétaro,148874.0
2019,Nissan,March,88000.0,Si,Ciudad de México,102400.0
2014,Audi,A1,125000.0,Si,Ciudad de México,113600.0
2017,General Motors,Aveo,200000.0,Si,Ciudad de México,63642.0
2014,Nissan,Versa,79000.0,Si,Ciudad de México,78400.0
2017,Ford,F-150,93000.0,Si,Ciudad de México,244000.0
2014,Mercedes Benz,Clase CLA,225000.0,Si,Ciudad de México,146016.0
2020,General Motors,Aveo,175000.0,Si,Estado de México,80584.0
2016,Kia,FORTE,80000.0,Si,Ciudad de México,104800.0
2020,General Motors,Beat,120000.0,Si,Ciudad de México,91332.0
2016,Mazda,Mazda 2,143000.0,Si,Ciudad de México,109600.0
2017,General Motors,Sonic,120000.0,Si,Ciudad de México,95200.0
2015,Nissan,Versa,170000.0,Si,Estado de México,81357.0
2018,General Motors,Aveo,114000.0,Si,Ciudad de México,100720.0
2020,Renault,Kwid,50000.0,Si,Estado de México,88800.0
2018,Nissan,X Trail,160000.0,Si,Ciudad de México,165115.0
2014,General Motors,Sonic,128000.0,Si,Ciudad de México,79200.0
2020,General Motors,Aveo,171000.0,Si,Ciudad de México,75824.0
2025,BYD,Song,3000.0,Si,Ciudad de México,425600.0
2014,General Motors,Traverse,146000.0,Si,Ciudad de México,132000.0
2021,Nissan,March,104000.0,Si,Estado de México,117100.0
2023,Chrysler,Grand Cherokee,7000.0,Si,Ciudad de México,870400.0
2018,Ford,Figo,145000.0,Si,Ciudad de México,81775.0
2021,Fiat,Argo,68000.0,Si,Puebla,126400.0
2018,Volkswagen,Jetta Nuevo,187000.0,Si,Ciudad de México,98000.0
2017,General Motors,Aveo,215000.0,Si,Ciudad de México,53200.0
2017,Kia,SPORTAGE,60000.0,Si,Ciudad de México,162400.0
2018,General Motors,Beat,149000.0,Si,Ciudad de México,84252.0
2021,Volkswagen,Taos,102000.0,Si,Puebla,199063.0
2019,Kia,FORTE,102000.0,Si,Estado de México,141552.0
2016,General Motors,Sonic,128000.0,Si,Ciudad de México,95200.0
2014,Chrysler,Journey,278000.0,Si,Ciudad de México,77840.0
2015,Nissan,X Trail,198000.0,Si,Estado de México,113448.0
2015,Seat,Toledo,143000.0,Si,Morelos,84800.0
2014,Infiniti,Q70,56000.0,Si,Ciudad de México,154400.0
2019,General Motors,Cavalier,64000.0,Si,Ciudad de México,133600.0
2018,Volkswagen,Gol,61000.0,Si,Ciudad de México,100800.0
2018,Renault,Stepway,111000.0,Si,Estado de México,103120.0
2022,Volvo,XC40,49000.0,Si,Ciudad de México,341600.0
2018,Nissan,Versa,47000.0,Si,Ciudad de México,123200.0
2019,Mazda,Mazda 3,23000.0,Si,Ciudad de México,167200.0
2022,Mazda,CX5,51000.0,Si,Ciudad de México,273600.0
2014,Nissan,Note,179000.0,Si,Ciudad de México,77846.0
2018,Volkswagen,Tiguan,87000.0,Si,Ciudad de México,254400.0
2018,BMW,X3,67000.0,Si,Ciudad de México,386400.0
2022,Infiniti,QX60,25000.0,Si,Ciudad de México,609600.0
2022,Cadillac,Escalade,23000.0,Si,Estado de México,1116800.0
2019,GMC,Yukon,75000.0,Si,Ciudad de México,466400.0
2016,Mercedes Benz,Clase A,141000.0,Si,Ciudad de México,172000.0
2015,Volkswagen,Golf,75000.0,Si,Estado de México,188000.0
2016,Ford,Figo,219000.0,Si,Puebla,57384.0
2019,Nissan,Versa,87000.0,Si,Estado de México,118400.0
2015,Mitsubishi,Lancer,107000.0,Si,Estado de México,98400.0
2014,Audi,A5,129000.0,Si,Ciudad de México,140800.0
2015,Nissan,Versa,115000.0,Si,Estado de México,87200.0
2019,,,,Si,EDOMEX,124800.0
2016,Volkswagen,Vento,108000.0,Si,Ciudad de México,96000.0
2019,Volkswagen,Vento,100000.0,Si,Ciudad de México,109600.0
2014,Honda,FIT,226000.0,Si,Ciudad de México,88000.0
2017,Mazda,CX3,103000.0,Si,Ciudad de México,145600.0
2017,Ford,Focus,76000.0,Si,Ciudad de México,157600.0
2020,General Motors,Beat,160000.0,Si,Ciudad de México,94400.0
2014,Ford,Fiesta,42000.0,Si,Ciudad de México,71200.0
2015,Ford,Escape,106000.0,Si,Puebla,127200.0
2015,Renault,Kangoo Express,185000.0,Si,Ciudad de México,77600.0
2018,Fiat,Uno,109000.0,Si,Sinaloa,90400.0
2016,Seat,Leon,179000.0,Si,Estado de México,148800.0
2014,Ford,Edge,162000.0,Si,Estado de México,126400.0
2022,Seat,Formentor,40000.0,Si,Ciudad de México,416000.0
2024,General Motors,Cavalier,1000.0,Si,Estado de México,204000.0
2015,Hyundai,SONATA,113000.0,Si,,103200.0
2022,Kia,SOUL,9000.0,Si,,176800.0
2018,Nissan,March,140000.0,Si,,84000.0
2018,Kia,OPTIMA,67000.0,Si,,175200.0
2018,Nissan,KICKS,76000.0,Si,,158400.0
2022,Mini Cooper,MINI S,49000.0,Si,,306400.0
2017,Nissan,Pathfinder,104000.0,Si,,196000.0
2014,Nissan,Note,70000.0,Si,,80800.0
2023,Audi,A8,87000.0,Si,,1496000.0
2020,General Motors,Cavalier,32000.0,Si,,132800.0
2016,Honda,Civic,180000.0,Si,,157600.0
2024,Chirey,Tiggo 2 pro,12000.0,Si,,180800.0
2015,,Jetta Nuevo,151000.0,,,112800.0
2014,,Altima,126000.0,,,92000.0
2020,,Virtus,157000.0,,,144800.0
2018,,Uno,66000.0,,,90400.0
2015,,Vento,141000.0,,,97600.0
2016,,Sentra,111000.0,,,108800.0
2019,,RDX,120000.0,,,289600.0
2018,,HR-V,66000.0,,,169600.0
2014,,Tiida,211000.0,,,72800.0
2015,,Duster,170000.0,,,89600.0
2021,,JIMNY,93000.0,,,224000.0
2015,,Clase C,30000.0,,,173600.0
2019,,Mazda 2,43000.0,,,128000.0
2017,,Versa,116000.0,,,92800.0
2018,,Beat,100000.0,,,82400.0
2015,,Terrain,120000.0,,,149600.0
2023,,Xpander,54000.0,,,220800.0
2023,,Saveiro,45000.0,,,141600.0
2020,,X1,73000.0,,,275200.0
2015,,March,190000.0,,,48880.0
2020,,C-HR,133000.0,,,218400.0
2015,,Polo,127000.0,,,91200.0
2018,,City,31000.0,,,128000.0
2016,,Aveo,72000.0,,,73600.0
2019,,Beat,72000.0,,,88000.0
2015,,Cruze,,Si,Guanajuato,76800.0
2023,,Corolla,,Si,Jalisco,256800.0
2017,,RIO,,Si,EDOMEX,112000.0
2019,,STINGER,,Si,EDOMEX,297600.0
2021,,Eco Sport,,Si,CDMX,202400.0
2014,,Focus,,No,Puebla,78400.0
2013,,March,,Si,EDOMEX,58400.0
2018,,Partner,,Si,CDMX,120800.0
2019,,XC40,,Si,EDOMEX,266400.0
2014,,Vento,,Si,CDMX,80800.0
2016,,Jetta Nuevo,,Si,Chihuahua,112800.0
2024,,Mazda 3,,Si,CDMX,256000.0
2019,,A3,,Si,Puebla,313600.0
2024,,Onix,,Si,CDMX,173600.0
2016,,Swift,,Si,EDOMEX,86400.0
2016,,City,,Si,CDMX,109600.0
2014,,Aveo,,Si,CDMX,65200.0
2017,,Jetta Nuevo,,Si,CDMX,116800.0
2020,,Vento,,Si,Morelos,131200.0
2014,,Sienna,,Si,Morelos,153600.0
2017,,Trax,,Si,EDOMEX,128000.0
2016,,Spark,,Si,Hidalgo,77600.0
2013,,Ibiza,,Si,Morelos,74400.0
2015,,Encore,,Si,CDMX,121600.0
2020,,City,,No,CDMX,144800.0
2015,,Clase GLA,,Si,CDMX,181600.0
2013,,Mazda 6,,Si,CDMX,88000.0
2018,,Civic,,Si,Morelos,187200.0
2014,,Serie 5,,Si,CDMX,158400.0
2017,,Explorer,,Si,Querétaro,249600.0
2019,,Aveo,,Si,Morelos,104240.0
2023,,Xpander,,Si,EDOMEX,220800.0
2022,,Polo,,Si,EDOMEX,150400.0
2013,,FIT,,Si,CDMX,80000.0
2014,,Escape,,Si,CDMX,113600.0
2018,,GRAND I10,,Si,EDOMEX,108400.0
2015,,RAV4,,No,CDMX,148800.0
2022,,Tiguan,,Si,CDMX,293600.0
2013,,F-150,,No,Morelos,192000.0
2013,,Sentra,,Si,CDMX,78400.0
2015,,Versa,,Si,EDOMEX,85600.0
2018,,Beat,,Si,CDMX,78400.0
2019,,Mirage,,Si,EDOMEX,90400.0
2013,,Mazda 3,,Si,CDMX,81600.0
2019,,RIO,,Si,Querétaro,113600.0
2020,,Polo,,Si,EDOMEX,127200.0
2016,,Uno,,Si,CDMX,76800.0
2019,,ACCENT,,Si,Querétaro,123520.0
2021,,Taos,,Si,Guanajuato,217600.0
2013,,GOL,,,,32300.0
2019,,Vento,,Si,Puebla,118400.0
2015,,Vision,,Si,Querétaro,75200.0
,,Aveo,,No,EDOMEX,180640.0
2017,,Vento,,Si,Guanajuato,98400.0
2021,,RDX,,Si,EDOMEX,373600.0
2023,,Territory,,Si,EDOMEX,292000.0
2015,,Aveo,,Si,EDOMEX,68000.0
2018,,Sentra,,Si,CDMX,120800.0
2015,,Mirage,,Si,CDMX,65440.0
2015,,Cruze,,Si,Veracruz,88800.0
2016,,UP,,Si,Coahuila,78400.0
2018,,Beat,,Si,Puebla,88000.0
2021,,Vento,,No,CDMX,152800.0
2015,,Tundra,,No,CDMX,252800.0
2015,,Q5,,Si,Morelos,162400.0
2023,,Mazda 3,,Si,EDOMEX,231200.0
2022,,Serie 3,,No,EDOMEX,398400.0
2017,,UP,,Si,Hidalgo,84000.0
,,Captiva,,Si,CDMX,270400.0
2015,,Sonic,,Si,EDOMEX,88000.0
2023,,C5,,Si,CDMX,253840.0
2016,,SORENTO,,Si,Puebla,148800.0
2017,,Sentra,,Si,EDOMEX,134400.0
2014,,Captiva,,Si,CDMX,100000.0
2017,,Figo,,Si,EDOMEX,82320.0
2019,,Saveiro,,No,CDMX,119200.0
2021,,Beat,,No,EDOMEX,103200.0
2013,,Pathfinder,,Si,CDMX,136800.0
2018,,Vento,,Si,Puebla,103200.0
2017,,Sonic,,Si,EDOMEX,96000.0
2017,,Altima,,Si,CDMX,143200.0
,,K3,,Si,CDMX,168800.0
2019,,Versa,,Si,CDMX,111200.0
2013,,Spark,,Si,EDOMEX,51360.0
2015,,Expedition,,Si,CDMX,196000.0
2013,,X Trail,,Si,CDMX,122400.0
2023,,MG5,,Si,CDMX,141600.0
2019,,F-250,,Si,Guanajuato,505600.0
2022,,RIO,,Si,CDMX,172000.0
2016,,Chrysler 200,,Si,Puebla,120000.0
2017,,Toledo,,Si,EDOMEX,100800.0
2022,,X3,,Si,EDOMEX,452000.0
2016,,CR-V,,Si,CDMX,168800.0
2017,,SPORTAGE,,Si,CDMX,177600.0
,,K3,,Si,CDMX,201600.0
2017,,Sandero,,Si,EDOMEX,80000.0
2019,,Duster,,Si,CDMX,117600.0
2019,,Versa,,Si,Puebla,131200.0
2022,,FORTE,,Si,CDMX,218400.0
2022,,FORTE,,Si,CDMX,218400.0
2019,,Vento,,Si,EDOMEX,108000.0
2023,,Kwid,,Si,EDOMEX,116800.0
2023,,GT,,Si,CDMX,212800.0
2022,,Onix,,Si,San Luis Potosí,138400.0
2016,,HR-V,,Si,CDMX,142400.0
2021,,Prius,,Si,CDMX,173600.0
2021,,URVAN VAN,,No,EDOMEX,240000.0
2015,,Versa,,Si,CDMX,86400.0
2016,,Vento,,No,CDMX,96800.0
2015,,Versa,,Si,EDOMEX,90400.0
2014,,Trax,,Si,CDMX,111200.0
2018,,GRAND I10,,Si,CDMX,104160.0
2019,,GRAND I10,,Si,Guanajuato,116320.0
2014,,ASX,,Si,EDOMEX,105600.0
2013,,Edge,,Si,Guanajuato,116000.0
2021,,Durango,,Si,Querétaro,445600.0
2015,,301,,Si,EDOMEX,64000.0
2013,,Explorer,,Si,Sinaloa,142400.0
2016,,Vision,,Si,CDMX,75200.0
2022,,SEI7,,Si,Puebla,217600.0
2013,,Avenger,,Si,EDOMEX,60800.0
2013,,Mazda 5,,Si,CDMX,90400.0
2017,,ATTITUDE,,Si,EDOMEX,32000.0
2016,,Jetta Nuevo,,Si,CDMX,104000.0
2014,,Tiida,,No,Quintana Roo,65040.0
2020,,Serie 5,,Si,Morelos,357600.0
2023,,RIO,,Si,EDOMEX,148800.0
2014,,Doble Cabina,,Si,EDOMEX,131200.0
2023,,Mazda 3,,Si,CDMX,211200.0
2016,,Equinox,,No,CDMX,135200.0
2019,,Vento,,Si,CDMX,108000.0
2016,,Jetta Nuevo,,Si,CDMX,106400.0
2016,,Fluence,,Si,CDMX,100000.0
2021,,Onix,,Si,EDOMEX,149600.0
2020,,Gol,,Si,Morelos,115200.0
2016,,Chrysler 200,,Si,Puebla,120000.0
2016,,A1,,Si,EDOMEX,150400.0
2014,,Matiz,,Si,EDOMEX,45040.0
2015,,Sonic,,No,CDMX,80000.0
2020,,Vento,,Si,CDMX,124800.0
2015,,Chrysler 200,,Si,EDOMEX,109600.0
2020,,Versa,,Si,Morelos,148000.0
2017,,Aveo,,Si,Aguascalientes,77600.0
2016,,SORENTO,,Si,EDOMEX,163200.0
2018,,Leon,,Si,Querétaro,152000.0
2016,,Versa,,No,Querétaro,92000.0
2018,,Mazda 3,,Si,CDMX,150400.0
2018,,Versa,,Si,EDOMEX,110400.0
2017,,Versa,,Si,CDMX,102400.0
2014,,Lancer,,Si,CDMX,73600.0
2018,,Altima,,Si,CDMX,155200.0
2018,,FORTE,,Si,CDMX,120000.0
2023,,Stepway,,Si,Aguascalientes,170320.0
2018,,A3,,Si,CDMX,193600.0
2016,,Jetta Nuevo,,Si,Puebla,112800.0
2019,,Oroch,,Si,EDOMEX,151200.0
2015,,Lancer,,Si,CDMX,88000.0
2018,,Sentra,,Si,CDMX,126400.0
2015,,Grand Cherokee,,Si,CDMX,218400.0
2020,,Versa,,Si,CDMX,131200.0
2018,,CX3,,Si,EDOMEX,164800.0
2014,,Focus,,Si,Michoacán,88000.0
2018,,Attitude,,Si,CDMX,92800.0
2017,,Vento,,Si,Zacatecas,100000.0
2018,,ACCENT,,Si,CDMX,111600.0
2018,,Q5,,Si,Morelos,256000.0
2015,,Lancer,,No,EDOMEX,98400.0
,,SELTOS,,Si,CDMX,313600.0
2020,,Versa,,Si,CDMX,142400.0
2013,,Smart,,Si,Guanajuato,76800.0
2018,,Swift,,Si,Puebla,117600.0
2023,,RIO,,Si,Puebla,160000.0
2017,,Spark,,No,EDOMEX,70160.0
2019,,Prius,,Si,CDMX,165600.0
2018,,Escape,,Si,Michoacán,190400.0
2016,,Passat,,No,Nuevo León,137600.0
